,rle,xup,zup,zxxup,xlo,zlo,zxxlo,alphate,betate,aoa,LperD
8103,0.01231065,0.47462725,0.11516476,-0.6285605,0.46492735,-0.05995065,0.3885651,-0.2026198,0.1670116,0.4398,101.2
8104,0.01402947,0.46517275,0.12045244,-0.6553275,0.33584765,-0.06445635,0.3243163,-0.176795,0.137466,0.1602,97.57142857
8105,0.01127817,0.42545725,0.08627836,-0.6315475,0.38644285,-0.05179945,0.4491949,-0.1652126,0.1376284,0.3442,94.92395437
8106,0.01540269,0.33827125,0.10926508,-0.7961225,0.35302785,-0.06567765,0.3245627,-0.1588818,0.1580348,2.0202,110.4704097
8107,0.01559385,0.38117125,0.10222708,-0.6358975,0.46111315,-0.06650565,0.4162235,-0.157605,0.1200164,0.7094,90.39792388
8108,0.01591677,0.48614425,0.12096652,-0.6120015,0.35504905,-0.04677855,0.3548083,-0.186751,0.1269268,1.8554,140.1182432
8109,0.01440639,0.34531675,0.1097302,-0.7563925,0.37203365,-0.05824175,0.4544463,-0.154793,0.1356964,1.8958,113.4482759
8110,0.01337121,0.48616075,0.1094854,-0.8488155,0.43650015,-0.06088445,0.3864553,-0.1753054,0.1621788,1.1838,115.6069364
8111,0.01594971,0.36777325,0.0945118,-0.6190485,0.34394875,-0.05049535,0.3577343,-0.225397,0.1497188,0.6626,104.6333333
8112,0.01227825,0.45113125,0.08697196,-0.7641065,0.42614965,-0.05888115,0.3460765,-0.1836274,0.164962,0.2266,85.02
8113,0.01372005,0.35013475,0.08597644,-0.8157265,0.41211535,-0.05676055,0.4394159,-0.2005982,0.156534,1.0142,100.4618117
8114,0.01247751,0.43162825,0.08803276,-0.7052075,0.41599475,-0.06148705,0.4319007,-0.1743706,0.1638588,3.9766,147.4918567
8115,0.01169937,0.40113625,0.09216172,-0.7141685,0.33532605,-0.05834755,0.3958339,-0.216923,0.11249,1.2498,115.335689
8116,0.01295109,0.43768375,0.1129942,-0.8346345,0.36738815,-0.06521535,0.4470389,-0.1591402,0.1577156,1.3034,113.9076377
8117,0.01125441,0.33873325,0.12258628,-0.6470045,0.37239225,-0.06155605,0.4475625,-0.201685,0.1332716,2.1694,83.84349827
8118,0.01615113,0.41113525,0.12348388,-0.6944485,0.42541615,-0.04782965,0.4078613,-0.1649086,0.1669164,3.5038,142.4277457
8119,0.01339335,0.38242525,0.12091348,-0.7310175,0.36800755,-0.04751455,0.4134823,-0.1583726,0.1143996,1.1662,111.5926493
8120,0.01144881,0.33401425,0.0946138,-0.6097685,0.33804815,-0.06626185,0.3162159,-0.2011758,0.1671684,3.2394,121.8413598
8121,0.01211247,0.45466225,0.09782476,-0.7428205,0.43037135,-0.05081965,0.4498417,-0.199481,0.1313228,3.8474,158.456486
8122,0.01406025,0.34480525,0.09779212,-0.5853795,0.44425895,-0.05640865,0.3362667,-0.2044742,0.1583372,2.4766,116.4933135
8123,0.01302183,0.34929325,0.10198636,-0.8327495,0.45416935,-0.06349265,0.4305455,-0.178809,0.1266636,3.0786,128.3925811
8124,0.01104597,0.48594625,0.1151362,-0.7278855,0.45490285,-0.06021055,0.3904593,-0.202445,0.164486,1.7346,127.9496403
8125,0.01207521,0.38864575,0.09764524,-0.6452065,0.39087645,-0.05668005,0.4171783,-0.2024906,0.121842,1.017,107.0338983
8126,0.01354023,0.37676575,0.11718436,-0.6987985,0.42189535,-0.05721825,0.3106719,-0.167941,0.1283716,2.6142,122.1418021
8127,0.01213353,0.40390825,0.107527,-0.7632365,0.45532665,-0.06401935,0.4008081,-0.2124922,0.1295084,3.1118,136.6507937
8128,0.01125333,0.45801175,0.1030798,-0.6871405,0.41879835,-0.05325995,0.4074301,-0.1704718,0.1663676,0.1562,94.37735849
8129,0.01249263,0.33546625,0.0966538,-0.8161325,0.48148815,-0.06413435,0.3413949,-0.2209358,0.1496292,2.5318,118.4202212
8130,0.01271781,0.37679875,0.08332444,-0.7453435,0.48760065,-0.05886735,0.3443671,-0.1884154,0.1661156,1.0882,96.2406015
8131,0.01599885,0.38879425,0.11217412,-0.6971745,0.44036325,-0.05401895,0.3464615,-0.2161402,0.11529,3.6638,143.3138686
8132,0.01611279,0.47132725,0.11327572,-0.7419795,0.35966195,-0.05651215,0.4436817,-0.2080918,0.114758,0.477,113.0514706
8133,0.01482435,0.35110825,0.10144372,-0.5935285,0.38227005,-0.05328985,0.4467617,-0.1597938,0.1674148,3.7914,135.3803596
8134,0.01340361,0.42603475,0.11492812,-0.8579505,0.32751835,-0.04942815,0.3236695,-0.156123,0.160258,2.5782,141.461794
