,M,Vf,DC
283,0.729,0.64,-0.04835611
284,0.7875,0.7,-0.006803453
285,0.794,0.416,-0.037709909
286,0.679,1.408,-0.016421296
287,0.75,0.4,-0.032750256
288,0.786,1.184,0.031590017
289,0.8,1,0.00750565
290,0.75,1.1,0.007098835
291,0.9,1.7,-0.049531094
292,0.8875,0.5,-0.001869349
293,0.76875,1.55,0.063981434
294,0.673,1.824,0.038942767
295,0.79,1.984,0.074696222
296,0.85,0.7,0.023248774
297,0.65,0.9,-0.048240808
298,0.775,0.9,-0.018825564
299,0.746,0.704,-0.044793074
300,0.842,0.544,0.002175239
