,rle,xup,zup,zxxup,xlo,zlo,zxxlo,alphate,betate,aoa,LperD
118,0.01113561,0.48668875,0.09738004,-0.7699645,0.44407965,-0.05314035,0.3637249,-0.2237402,0.1421924,3.0498,154.1516245
119,0.01457325,0.37335025,0.09023188,-0.6778895,0.42719285,-0.05934805,0.4071067,-0.2043146,0.1143156,2.8642,132.700491
120,0.01560735,0.38202925,0.08913844,-0.5945435,0.41456035,-0.05182475,0.3327863,-0.2207382,0.1581188,3.757,144.2073171
121,0.01160595,0.37303675,0.11765356,-0.7295965,0.38152025,-0.04661295,0.3361589,-0.225435,0.1410164,1.353,113.358209
122,0.01490049,0.43501075,0.09699244,-0.7412255,0.42507385,-0.05846715,0.4253249,-0.2272666,0.113386,0.3682,98.4962406
123,0.01324593,0.35463925,0.12359812,-0.7218825,0.33411985,-0.05134405,0.3196655,-0.193135,0.158522,1.9186,109.0384615
124,0.01308933,0.33780925,0.0859846,-0.8660415,0.47284915,-0.05435935,0.3914141,-0.1776994,0.1536892,2.289,117.6632302
125,0.01146015,0.36156925,0.12123988,-0.7694135,0.34557875,-0.06472085,0.3714403,-0.155857,0.1133244,3.2658,123.5326087
126,0.01549881,0.48822325,0.11594812,-0.8351275,0.39676075,-0.06036695,0.3734731,-0.1791966,0.1505084,1.5966,128.7918216
127,0.01308825,0.41827975,0.09073372,-0.8471045,0.33281585,-0.04741565,0.3331405,-0.1813398,0.1354164,2.3314,138.8363636
128,0.01369197,0.40727425,0.10385908,-0.6644045,0.39803215,-0.05384645,0.4048121,-0.2110634,0.1132068,0.079,94.16083916
129,0.01447929,0.46180675,0.1074454,-0.8118985,0.39827665,-0.04930855,0.4274193,-0.166345,0.113666,3.4958,160.5972696
130,0.01287063,0.41372575,0.09810628,-0.6826165,0.43229475,-0.04716725,0.3652341,-0.2140882,0.1423324,2.8042,141.2066116
131,0.01316007,0.39838075,0.12088492,-0.8209175,0.33659745,-0.06516245,0.4536147,-0.1942522,0.136738,3.0686,136.8630339
132,0.01289979,0.36503425,0.09640492,-0.6070715,0.43341945,-0.06436895,0.4539997,-0.2255186,0.1420524,0.4522,90.29950083
133,0.01314495,0.41476525,0.12248428,-0.7919175,0.34833345,-0.04867835,0.3761065,-0.2071342,0.1532972,2.497,138.7175573
134,0.01112157,0.33995425,0.11095012,-0.6196865,0.48375385,-0.06666665,0.4054589,-0.1956734,0.1179332,2.1742,92.67299864
135,0.01225287,0.47644225,0.1214806,-0.7846675,0.42945855,-0.05525635,0.3735809,-0.2113978,0.161378,2.0582,136.3230241
136,0.01244565,0.48601225,0.11967316,-0.6426835,0.39328885,-0.04753755,0.4245395,-0.1830954,0.1263836,3.9718,163.4915773
137,0.01503873,0.46688875,0.08485444,-0.7136175,0.47837485,-0.06376635,0.3468157,-0.2212854,0.1446396,1.9254,123.0664063
138,0.01422549,0.39432175,0.08497684,-0.8617785,0.36029765,-0.06535105,0.4501497,-0.1758678,0.1328908,1.9598,119.5716946
139,0.01210275,0.35600875,0.0911458,-0.7097315,0.39136545,-0.06163425,0.3083003,-0.189411,0.1264564,1.937,113.3887043
140,0.01331397,0.48721675,0.0855562,-0.6421615,0.42183015,-0.06531425,0.3490487,-0.1944954,0.1601236,1.3534,112.9821074
141,0.01371465,0.47939575,0.09486676,-0.8610535,0.36398145,-0.06062915,0.4489947,-0.1593302,0.1453788,2.7646,144.4052045
142,0.01190241,0.42336175,0.09182308,-0.7075855,0.43785305,-0.05899385,0.4276811,-0.172957,0.1455636,1.5826,115.1016636
143,0.01370763,0.34995325,0.11063596,-0.6430315,0.38331325,-0.06584095,0.3547159,-0.2206242,0.12705,0.6822,90.85972851
144,0.01424277,0.35569525,0.09853468,-0.6007205,0.35421775,-0.05449275,0.4470235,-0.2256326,0.1343692,1.755,118.0151515
145,0.01329291,0.41362675,0.116911,-0.8373605,0.48377015,-0.05773345,0.3905517,-0.1792422,0.1167068,3.4558,143.511811
146,0.01610523,0.47627725,0.10719652,-0.7752425,0.47265355,-0.06096265,0.3632013,-0.1601662,0.1520484,0.9166,105.155642
